Street,Name,Zip,Category,Lat,Long
155 Palm Ave,Roosevelt Middle School,94118,Food Bank,37.7824711,-122.4603039
670 Kezar Dr,Kezar Stadium,94118,Food Bank,37.7669483,-122.45819
360 18th Ave,Richmond District YMCA,94121,Food Bank,37.781225,-122.47925
1025 Masonic Ave,St. Agnes & St. Ignatius Community Food Pan,94117,Food Bank,37.7716251,-122.44814
741 30th Ave,George Peabody RNC,94121,Food Bank,37.7750951,-122.49247
1501 O'Farrell St,Rosa Parks Elem Sch. - Transitional Pop-Up,94115,Food Bank,37.783306,-122.43215
6101 Fulton St,Golden Gate Park Senior Ctr Transitional Pop-up,94121,Food Bank,37.7716251,-122.49918
3750 18th St,Mission High School - Transitional Pop-Up,94114,Food Bank,37.7617503,-122.42936
3543 18th St %238,he Women's Building,94110,Food Bank,37.7614492,-122.42489
3151 Ortega St,Giannini Middle School - Transitional Pop-U,94122,Food Bank,37.7510721,-122.49951
357 Ellis St,TL Ellis - Transitional Pop-up,94102,Food Bank,37.7846645,-122.41431
1325 Valencia St,Bethel Christian Church,94110,Food Bank,37.7516604,-122.42246
6 Sherman St,Bessie Carmichael - Transitional Pop-Up,94103,Food Bank,37.7764775,-122.40804
825 Shotwell St,Cesar Chavez Elem. Sch - Transitional Pop-U,94110,Food Bank,37.7549224,-122.41709
395 Addison St,New Life Lutheran Church,94131,Food Bank,37.7398833,-122.4379
333 Eucalyptus Dr,Stonestown YMCA Transitional Pop-up,94132,Food Bank,37.7308487,-122.47859
500 De Haro St,St. Gregory's Episcopal Church,94107,Food Bank,37.7632792,-122.40392
74 Mission Rock St,Oracle Parking Lot Walk-Up - T. Pop-up Pantry,94158,Food Bank,37.7748523,-122.39089
74 Mission Rock St,Oracle Parking Lot Drive-through Pop-up Pantry,94158,Food Bank,37.7748523,-122.39089
269 Herbst Rd,The Father's House,94132,Food Bank,37.7293505,-122.50424
240 Seneca Ave,James Denman Middle School - Transitional Pop-Up,94112,Food Bank,37.7205017,-122.44529
999 Brotherhood Way,Holy Trinity Greek Orthodox Church,94132,Food Bank,37.7140092,-122.48527
1195 Geneva Ave,SF Community Fellowship,94112,Food Bank,37.7144399,-122.43838
4705 3rd St,Bayview Opera House - Transitional Pop-Up,94124,Food Bank,37.7351089,-122.39232
6190 3rd St,Cornerstone Church Transitional Pop-up,94124,Food Bank,37.7229074,-122.39821
2600 Geneva Ave,Cow Palace - Transitional Pop-Up,94014,Food Bank,37.7064875,-122.42105
1065 Oakdale Ave,Oakdale NGN,94124,Food Bank,37.7286636,-122.38261
25 Lake St,St. John's Presbyterian Church,94118,Food Bank,37.7867097,-122.462
2565 Post St,St. Andrew MB Church,94115,Food Bank,37.783626,-122.44615
741 30th Ave,Lafayette RDNC,94121,Food Bank,37.7750951,-122.49247
2390 Bush St,St. Dominic's,94115,Food Bank,37.7870496,-122.43799
741 30th Ave,Richmond Neighborhood Center,94121,Food Bank,37.7750951,-122.49247
3265 16th St,Grace Fellowship Community Church,94110,Food Bank,37.7644739,-122.42777
875 O'Farrell St,Southeast Asian Community,94109,Food Bank,37.7847036,-122.42117
1 Sabin Pl,Chinatown Community Pantry,94108,Food Bank,37.7925966,-122.40904
3261 23rd St,Iglesia Presbiteriana de la Mision,94110,Food Bank,37.7536645,-122.41994
Ingalls Street and Oakdale,Adam Rogers Community Garden,94124,Community Garden,37.7310279,-122.38382
700 Alemany Boulevard,Alemany Farm,94110,Community Garden,37.732318,-122.4197
20th Street and Capp Street,Alioto Community Garden & Mini Park,94110,Community Garden,37.7588667,-122.41818
22nd Street and Arkansas Street,Arkansas Friendship Garden,94107,Community Garden,37.7573876,-122.39739
Arlington Street and Highland Avenue,Arlington Community Garden,94131,Community Garden,37.7370711,-122.42642
559 Bernal Heights Boulevard,Bernal Heights Community Garden,94110,Community Garden,37.7422214,-122.41306
